rank_pos,account_id,action,segment,cell,evidence_pts,arm,sales_contacts_90d,trial_started,age_days,flags
1,ACC-00076,first-call,trial,trial|0,5.0,first-call,0,1,87,never touched
2,ACC-01394,first-call,trial,trial|0,5.0,control,0,1,81,"no vendor record, never touched"
3,ACC-01404,first-call,trial,trial|0,5.0,control,0,1,105,"no vendor record, never touched"
4,ACC-00011,first-call,trial,trial|0,5.0,control,0,1,148,"no vendor record, never touched"
5,ACC-00200,first-call,trial,trial|0,5.0,control,0,1,116,never touched
6,ACC-01157,first-call,trial,trial|0,5.0,first-call,0,1,130,never touched
7,ACC-00433,first-call,trial,trial|0,5.0,observe,0,1,515,"stale 180, never touched"
8,ACC-00802,first-call,trial,trial|0,5.0,observe,0,1,113,never touched
9,ACC-00086,first-call,trial,trial|0,5.0,control,0,1,109,never touched
10,ACC-00285,first-call,trial,trial|0,5.0,observe,0,1,143,never touched
11,ACC-00398,first-call,trial,trial|0,5.0,observe,0,1,129,"no vendor record, never touched"
12,ACC-01269,first-call,trial,trial|0,5.0,observe,0,1,598,"stale 180, never touched"
13,ACC-00552,first-call,trial,trial|0,5.0,control,0,1,82,never touched
14,ACC-01020,first-call,trial,trial|0,5.0,observe,0,1,86,never touched
15,ACC-01337,first-call,trial,trial|0,5.0,first-call,0,1,130,never touched
16,ACC-00498,first-call,trial,trial|0,5.0,first-call,0,1,263,"stale 180, never touched"
17,ACC-00962,first-call,trial,trial|0,5.0,first-call,0,1,321,"stale 180, never touched"
18,ACC-01201,first-call,trial,trial|0,5.0,first-call,0,1,110,"no vendor record, never touched"
19,ACC-00264,first-call,trial,trial|0,5.0,control,0,1,45,never touched
20,ACC-00483,first-call,trial,trial|0,5.0,first-call,0,1,32,never touched
21,ACC-00531,first-call,trial,trial|0,5.0,observe,0,1,89,"no vendor record, never touched"
22,ACC-00564,first-call,trial,trial|0,5.0,observe,0,1,104,"no vendor record, never touched"
23,ACC-00787,first-call,trial,trial|0,5.0,observe,0,1,119,never touched
24,ACC-01091,first-call,trial,trial|0,5.0,first-call,0,1,457,"stale 180, never touched"
25,ACC-01151,first-call,trial,trial|0,5.0,first-call,0,1,61,never touched
26,ACC-01496,first-call,vendor,vendor|0,0.7,first-call,0,0,113,never touched
27,ACC-00728,first-call,vendor,vendor|0,0.7,first-call,0,0,73,never touched
28,ACC-01043,first-call,vendor,vendor|0,0.7,first-call,0,0,43,never touched
29,ACC-01100,first-call,vendor,vendor|0,0.7,first-call,0,0,71,never touched
30,ACC-01386,first-call,vendor,vendor|0,0.7,control,0,0,355,"stale 180, never touched"
31,ACC-01471,first-call,vendor,vendor|0,0.7,first-call,0,0,29,never touched
32,ACC-00233,first-call,vendor,vendor|0,0.7,first-call,0,0,161,never touched
33,ACC-00479,first-call,vendor,vendor|0,0.7,idle,0,0,100,never touched
34,ACC-00657,first-call,vendor,vendor|0,0.7,control,0,0,305,"stale 180, never touched"
35,ACC-00966,first-call,vendor,vendor|0,0.7,idle,0,0,207,"stale 180, never touched"
36,ACC-01440,first-call,vendor,vendor|0,0.7,control,0,0,97,never touched
37,ACC-00533,first-call,vendor,vendor|0,0.7,idle,0,0,13,never touched
38,ACC-00808,first-call,vendor,vendor|0,0.7,idle,0,0,317,"stale 180, never touched"
39,ACC-01290,first-call,vendor,vendor|0,0.7,idle,0,0,111,never touched
40,ACC-00144,first-call,vendor,vendor|0,0.7,control,0,0,292,"stale 180, never touched"
41,ACC-00392,first-call,vendor,vendor|0,0.7,idle,0,0,171,never touched
42,ACC-00800,first-call,vendor,vendor|0,0.7,control,0,0,360,"stale 180, never touched"
43,ACC-00080,first-call,vendor,vendor|0,0.7,idle,0,0,79,never touched
44,ACC-00268,first-call,vendor,vendor|0,0.7,idle,0,0,33,never touched
45,ACC-00289,first-call,vendor,vendor|0,0.7,idle,0,0,407,"stale 180, never touched"
46,ACC-00366,first-call,vendor,vendor|0,0.7,idle,0,0,169,never touched
47,ACC-00748,first-call,vendor,vendor|0,0.7,idle,0,0,137,never touched
48,ACC-01129,first-call,vendor,vendor|0,0.7,idle,0,0,126,never touched
49,ACC-01229,first-call,vendor,vendor|0,0.7,control,0,0,83,never touched
50,ACC-01495,first-call,vendor,vendor|0,0.7,idle,0,0,518,"stale 180, never touched"
51,ACC-00124,first-call,vendor,vendor|0,0.7,idle,0,0,107,never touched
52,ACC-00136,first-call,vendor,vendor|0,0.7,idle,0,0,474,"stale 180, never touched"
53,ACC-00334,first-call,vendor,vendor|0,0.7,idle,0,0,115,never touched
54,ACC-00001,first-call,vendor,vendor|0,0.7,idle,0,0,38,never touched
55,ACC-00288,first-call,vendor,vendor|0,0.7,idle,0,0,67,never touched
56,ACC-00633,first-call,vendor,vendor|0,0.7,idle,0,0,68,never touched
57,ACC-00701,first-call,vendor,vendor|0,0.7,control,0,0,69,never touched
58,ACC-01192,first-call,vendor,vendor|0,0.7,idle,0,0,120,never touched
59,ACC-01193,first-call,vendor,vendor|0,0.7,control,0,0,87,never touched
60,ACC-01339,first-call,vendor,vendor|0,0.7,idle,0,0,240,"stale 180, never touched"
61,ACC-00476,first-call,vendor,vendor|0,0.7,idle,0,0,131,never touched
62,ACC-00537,first-call,vendor,vendor|0,0.7,control,0,0,417,"stale 180, never touched"
63,ACC-00718,first-call,vendor,vendor|0,0.7,idle,0,0,224,"stale 180, never touched"
64,ACC-01349,first-call,vendor,vendor|0,0.7,idle,0,0,89,never touched
65,ACC-00295,first-call,vendor,vendor|0,0.7,idle,0,0,102,never touched
66,ACC-00438,first-call,vendor,vendor|0,0.7,idle,0,0,639,"stale 180, never touched"
67,ACC-01299,first-call,vendor,vendor|0,0.7,idle,0,0,185,"stale 180, never touched"
68,ACC-01385,first-call,vendor,vendor|0,0.7,idle,0,0,0,never touched
69,ACC-00049,first-call,vendor,vendor|0,0.7,idle,0,0,101,never touched
70,ACC-00070,first-call,vendor,vendor|0,0.7,control,0,0,124,never touched
71,ACC-00183,first-call,vendor,vendor|0,0.7,control,0,0,447,"stale 180, never touched"
72,ACC-00273,first-call,vendor,vendor|0,0.7,idle,0,0,464,"stale 180, never touched"
73,ACC-00359,first-call,vendor,vendor|0,0.7,control,0,0,94,never touched
74,ACC-00376,first-call,vendor,vendor|0,0.7,control,0,0,83,never touched
75,ACC-00423,first-call,vendor,vendor|0,0.7,control,0,0,95,never touched
76,ACC-00587,first-call,vendor,vendor|0,0.7,idle,0,0,132,never touched
77,ACC-00624,first-call,vendor,vendor|0,0.7,idle,0,0,460,"stale 180, never touched"
78,ACC-00776,first-call,vendor,vendor|0,0.7,idle,0,0,118,never touched
79,ACC-00789,first-call,vendor,vendor|0,0.7,idle,0,0,305,"stale 180, never touched"
80,ACC-00852,first-call,vendor,vendor|0,0.7,control,0,0,344,"stale 180, never touched"
81,ACC-00960,first-call,vendor,vendor|0,0.7,control,0,0,89,never touched
82,ACC-01045,first-call,vendor,vendor|0,0.7,idle,0,0,109,never touched
83,ACC-01164,first-call,vendor,vendor|0,0.7,idle,0,0,156,never touched
84,ACC-01179,first-call,vendor,vendor|0,0.7,idle,0,0,89,never touched
85,ACC-01257,first-call,vendor,vendor|0,0.7,idle,0,0,421,"stale 180, never touched"
86,ACC-01263,first-call,vendor,vendor|0,0.7,idle,0,0,67,never touched
87,ACC-01334,first-call,vendor,vendor|0,0.7,idle,0,0,281,"stale 180, never touched"
88,ACC-01434,first-call,vendor,vendor|0,0.7,control,0,0,198,"stale 180, never touched"
89,ACC-00492,continue,trial,trial|1-4,11.5,control,3,1,0,no vendor record
90,ACC-01111,continue,trial,trial|1-4,11.5,continue,3,1,109,—
91,ACC-00041,continue,trial,trial|1-4,11.5,continue,3,1,123,—
92,ACC-01352,continue,trial,trial|1-4,11.5,control,3,1,96,no vendor record
93,ACC-00371,continue,trial,trial|1-4,11.5,control,2,1,256,stale 180
94,ACC-01475,continue,trial,trial|1-4,11.5,continue,2,1,49,—
95,ACC-00558,continue,trial,trial|1-4,11.5,continue,2,1,112,—
96,ACC-00042,continue,trial,trial|1-4,11.5,continue,2,1,617,stale 180
97,ACC-00768,continue,trial,trial|1-4,11.5,continue,1,1,213,"no vendor record, stale 180"
98,ACC-00065,continue,trial,trial|1-4,11.5,continue,1,1,260,stale 180
99,ACC-00525,continue,trial,trial|1-4,11.5,control,1,1,89,—
100,ACC-00208,continue,trial,trial|1-4,11.5,continue,1,1,384,"no vendor record, stale 180"
101,ACC-01227,continue,trial,trial|1-4,11.5,continue,1,1,177,—
102,ACC-00232,continue,trial,trial|1-4,11.5,control,1,1,59,—
103,ACC-00284,continue,trial,trial|1-4,11.5,control,1,1,64,no vendor record
104,ACC-00418,continue,trial,trial|1-4,11.5,continue,1,1,180,no vendor record
105,ACC-00908,continue,trial,trial|1-4,11.5,continue,1,1,525,stale 180
106,ACC-01128,continue,trial,trial|1-4,11.5,continue,1,1,143,no vendor record
